"doffin_referanse";"navn";"publisert_av";"kunngjoring_type";"kunngjoring_dato";"tilbudsfrist_dato";"lenke";"cpv";"beskrivelse";"estimert_totalverdi";"kunngjort_uke";"kunngjort_år";"fristlengde"
"2020-334058";"Rådgivning for økt bruk av tre";"Viken fylkeskommune ";"Kunngjøring av konkurranse";"2020-06-04";"2020-08-14";"/Notice/Details/2020-334058";"85312320";"Bistand - Viken fylkeskommune v/avdeling for forskning og innovasjon ønsker tilbud på konsulenttjenester for økt bruk av tre. Bistanden skal skje i dialog med nøkkelpersoner i Viken fylkeskommune, samt i møter og dialog med partnere.";"2000000";"23";"2020";"71"
"2020-323498";"Evaluering av arbeidssituasjonen med koronarestriksjoner i UDI";"Utlendingsdirektoratet - UDI ";"Kunngjøring av konkurranse";"2020-06-02";"2020-06-22";"/Notice/Details/2020-323498";"73000000";"UDI har behov for å få mest mulig kunnskap om arbeidssituasjonen etter at koronatiltakene ble innført. Vi trenger kunnskapen for å justere metoder og samarbeidsformer i tiden fremover. Det er sannsynlig at arbeidsmåter vi har begynt å bruke i dagens situasjon, også vil påvirke måten vi jobber i fremtiden.
UDI ønsker å ta med seg vellykkede løsninger, forbedre de løsningene som ikke fungerer tilfredsstillende og vurdere tiltak for at arbeidsoppgavene skal kunne utføres best mulig.
";"800000";"22";"2020";"20"
"2020-390673";"Områdegjennomgang av utenrikstjenesten";"Utenriksdepartementet ";"Kunngjøring av konkurranse";"2020-05-31";"2020-06-29";"/Notice/Details/2020-390673";"73200000";"Det overordnede målet for områdegjennomgangen er todelt. For det første å legge grunnlaget for et mer formålseffektivt fremme av norske interesser overfor utlandet. For det andre å utrede potensialet for betydelige effektiviseringsgevinster. De identifiserte gevinstene skal også kunne hentes ut gjennom økt handlingsrom i budsjettet.
Disse to målene er førende for alt arbeid med områdegjennomgangen. Det innebærer blant annet at alle vurderinger og anbefalinger knyttet til mulige gevinster skal omtale virkninger både med hensyn til formålseffektivitet og kostnadseffektivitet. Målet om formålseffektivitet innebærer at realisering av gevinster skal gi økt kvalitet på utenrikstjenestens leveranser.
";"10000000";"22";"2020";"29"
"2020-362835";"Bistand til gjennomføring av en involverende fremtidsanalyse";"Norges forskningsråd ";"Kunngjøring av konkurranse";"2020-05-29";"2020-06-25";"/Notice/Details/2020-362835";"73000000";"Forskningsrådet, ved Adm.dir. stab innbyr til konkurranse om bistand med å tilrettelegge for en involverende fremtidsanalyse. Prosessen skal munne ut i tre hoved-leveranser:
- En leveranse knyttet til de fem strategiske områdene i Forskningsrådets strategi, med formål å identifisere hva som bør være hovedsatsingsområdene, herunder mulige missions i den neste tiårsperioden.
- En leveranse knyttet til å identifisere mulige tematiske satsinger/missions som går på tvers av eller faller utenfor de fem strategiske områdene. Dette for å sikre at prosessen ikke blir for konserverende og for bundet av eksisterende rammer og prioriteringer.
- En leveranse knyttet til å identifisere viktige strukturelle grep for å legge til rette for oppbygging av sterke fagmiljøer som kan bidra til å flytte den internasjonale forskningsfronten.
Klikk her https://permalink.mercell.com/130852880.aspx
";"3000000";"22";"2020";"27"
"2020-380147";"Internasjonalisering av den petroleumsrettede leverandørindustrien";"Olje- og energidepartementet ";"Kunngjøring av konkurranse";"2020-05-29";"2020-07-02";"/Notice/Details/2020-380147";"73200000";"OED leverer bakgrunnsinformasjon og talepunkter til politisk ledelse om leverandørindustriens aktivitet internasjonalt. Den internasjonale virksomheten/eksporten har blitt svært omfattende, samtidig som det de senere år har skjedd betydelige endringer i aktiviteten pga. oljepris, kostnadsnivå i bransjen og ikke minst operasjonelle kostnader og utfordringer knyttet COVID-19.
Denne studien skal gi en kvantitativ, kvalitativ og systematisk innsamling og analyse av informasjon om blant annet omsetning (eksport og salg gjennom datterselskaper) internasjonalt fra norsk leverandørindustri. Den skal i tillegg gi svar på den internasjonale aktivitetens betydning for industrien hjemme. Til slutt skal studien si noe om trender i dette markedet på kort og medium sikt og i hvilken grad den tradisjonelt petroleusmrettede leverandørindustrien også leverer – og vil levere – varer og tjenester til fornybarnæringen. Den fulle oppdragsbeskrivelsen finnes i bilag 1 til oppdragsavtalen.
";"1350000";"22";"2020";"34"
"2020-391816";"Analyse av infrastruktur for alternative drivstoff i Trondheimsområdet";"Trondheim kommune ";"Kunngjøring av konkurranse";"2020-05-27";"2020-06-23";"/Notice/Details/2020-391816";"73200000";"Trondheim kommune, heretter kalt oppdragsgiver, innbyr til frivillig kunngjøring av konkurranse i forbindelse med inngåelse av avtale på Analyse av infrastruktur for alternative drivstoff i Trondheimsområdet.";"700000";"22";"2020";"27"
"2020-316282";"Utredning av kvalifikasjonskrav i bygge- og anleggsnæringen";"Kommunal- og moderniseringsdepartementet ";"Kunngjøring av konkurranse";"2020-05-27";"2020-06-16";"/Notice/Details/2020-316282";"73200000";"Den 5. februar 2020 fikk Kommunal- og moderniseringsdepartementet overlevert Byggkvalitetutvalgets rapport. Utvalget foreslår blant annet å erstatte dagens kvalifikasjonskrav til foretak i plan- og bygningslovgivningen med kvalifikasjonskrav til personer, dvs. lovregulering av yrker. Konkret foreslås det kvalifikasjonskrav til personer som skal utføre arbeider på områder av betydning for helse, miljø og sikkerhet og andre viktige områder der tiltakshaverens interesser ikke samsvarer med bredere samfunnsinteresser. En slik regulering vil ha økonomiske konsekvenser for byggebransjen og derigjennom samfunnsøkonomien for øvrig. Det nye direktivet om forholdsmessighetsprøving før regulering av yrker innebærer at det er strenge krav til forholdsmessighetsprøving av lovregulering av yrker. På bakgrunn av dette ser departementet behov for å utrede forslaget ytterligere.";"1100000";"22";"2020";"20"
"2020-378896";"RNA Sequencing KBM";"Norges miljø- og biovitenskapelige universitet ";"Kunngjøring av konkurranse";"2020-05-26";"2020-06-12";"/Notice/Details/2020-378896";"73000000";"RNA sekvensering av 374 prøver fra trær. FRIPRO-prosjekt ""287465 - What makes a tree a tree?"".";NA;"21";"2020";"17"
"2020-323497";"Vurdering av arbeidskapital i nettreguleringen";"Norges vassdrags- og energidirektorat (NVE) ";"Kunngjøring av konkurranse";"2020-05-26";"2020-06-12";"/Notice/Details/2020-323497";"73200000";"Se konkurransegrunnlag";NA;"21";"2020";"17"
"2020-356705";"Evaluering av pilot for aktivitetsbasert arbeidsplasskonsept i KMD";"Kommunal- og moderniseringsdepartementet ";"Kunngjøring av konkurranse";"2020-05-22";"2020-06-30";"/Notice/Details/2020-356705";"73200000";"Kommunal- og moderniseringsdepartementet (KMD) skal teste ut aktivitetsbasert arbeidsplasskonsept for nytt regjeringskvartal (RKV). I den forbindelse har departementet behov for bistand til en prosess- og effektevaluering av KMDs kontorpilot. Anslått verdi for kontrakten er fra kr 1,5 mill. eks. mva. til kr 3 mill. eks. mva.";"3000000";"21";"2020";"39"
"2020-360011";"Kjøp av evaluering av Pilot-E";"INNOVASJON NORGE ";"Kunngjøring av konkurranse";"2020-05-22";"2020-06-10";"/Notice/Details/2020-360011";"73200000";"PILOT-E hadde sin første utlysning i 2016, og årets utlysning blir dermed den femte i rekken. Ettersom et PILOT-E-prosjekt normalt skal være klar for realisering av en investering innen 3 år, begynner det å bli et større antall prosjekter som enten er ferdigstilt eller er langt nok i utviklingsløpet og det er gjennomført et tilstrekkelig antall utlysninger til at det er meningsfullt å vurdere effekten av samarbeidet.
Det er ønske om en ekstern vurdering av effekten av samarbeidet opp mot målene, av hvorvidt PILOT-E-modellen («mission-orientering», med avgrensede årlige tema) gir merverdi - og på hvilken måte - ut over bruken av virkemiddelaktørenes virkemidler hver for seg, og for å få innspill til videreutvikling av samarbeidet.
";NA;"21";"2020";"19"
"2020-377583";"Varmepumpepotensial i de baltiske landene";"Nordic Energy Research (Nordisk Energiforskning) ";"Kunngjøring av konkurranse";"2020-05-22";"2020-06-15";"/Notice/Details/2020-377583";"73210000";"Konsulenttjeneste for å undersøke varmepumpepotensial i de baltiske landene.";"425000";"21";"2020";"24"
"2020-378527";"Evaluering av samarbeidet mellom NAV og helsetjenesten om individuell jobbstøtte (IPS)";"Arbeids- og sosialdepartementet ";"Kunngjøring av konkurranse";"2020-05-20";"2020-06-24";"/Notice/Details/2020-378527";"73000000";"Innsatsen med individuell jobbstøtte (Individual Placement and Support – IPS) er et av tiltakene i regjeringens inkluderingsdugnad og innsatsen er styrket i forbindelse med budsjett for 2018, 2019 og 2020. I den forbindelse er det behov for å se nærmere på innsatsfaktorene som inngår i samarbeidet om individuell jobbstøtte som er utviklet mellom helsetjenesten og NAV. Samarbeidet om individuell jobbstøtte er i liten grad belyst i tidligere forskning. Formålet med evalueringen er å gi et bedre kunnskapsgrunnlag og belyse erfaringer som kan bidra til kvalitetsforbedring av metoden og stimulere til videre bruk til beste for brukere og pasienter som dette tilbudet kan være relevant for.
Oppdragstaker skal levere et notat for delrapportering senest 1. desember 2020. Leveransen for endelig rapportering skal være i form av en sluttrapport / vitenskapelig artikkel, og skal foreligge senest 1. april 2021. Oppdragstaker skal oversende oppdragsgiver utkast senest 1. mars 2021.
";"900000";"21";"2020";"35"
"2020-374776";"Utredning av byggskadeforsikring og -register";"Kommunal- og moderniseringsdepartementet ";"Kunngjøring av konkurranse";"2020-05-20";"2020-06-11";"/Notice/Details/2020-374776";"73000000";"Den 5. februar 2020 fikk Kommunal- og moderniseringsdepartementet overlevert Byggkvalitetutvalgets rapport. Utvalget foreslår blant annet å innføre en obligatorisk byggskadeforsikring for boliger for å sikre byggkvalitet og bedre etterlevelse av regelverket. Det foreslås også å etablere et register som forsikringsselskapene rapporterer til, og som er åpent tilgjengelig for alle, herunder forsikringsselskaper og boligkjøpere. Departementet ønsker å anskaffe en utredning som definerer alternative modeller for byggskadeforsikring og –register, og som vurderer de samfunnsøkonomiske konsekvensene av modellene. Utredningen skal være til hjelp i departementets videre arbeid med oppfølgingen av utvalgets forslag.
Oppdraget skal avsluttes med en rapport og en PowerPoint, som skal foreligge innen 7. desember 2020.
";NA;"21";"2020";"22"
"2020-336470";"Kjøp av Sluttevalueringer av klynger i Norwegian Innovation Clusters, Innovasjon Norge";"INNOVASJON NORGE ";"Kunngjøring av konkurranse";"2020-05-20";"2020-06-18";"/Notice/Details/2020-336470";"73200000";"Innovasjon Norge har hovedansvar for gjennomføring av klyngeprogrammet Norwegian Innovation Clusters. Programmet støtter utviklingen av regionale klynger med finansiell og faglig støtte. Som ledd i programmets engasjement, og nedfelt i avtalene mellom programmet og de regionale klyngeprosjektene, skal det gjennomføres eksterne evalueringer av disse prosjektene.";NA;"21";"2020";"29"
"2020-344597";"Forprosjekt: Gjennomføringsstrategi for utvikling av bybåndet mellom Stavanger og Sandnes";"Rogaland Fylkeskommune ";"Kunngjøring av konkurranse";"2020-05-19";"2020-06-10";"/Notice/Details/2020-344597";"73200000";"Formålet med prosjektet er for å få mer kunnskap om hvorfor byutvikling i prioriterte, kollektivnære transformasjonsområde som bybåndet mellom Stavanger og Sandnes ikke skjer av seg selv, men tar lang tid, selv når områder og prosjekter er ferdig regulert. Hvordan kan særlig kommunene og fylkeskommunen bidra til å styrke arbeidet «fra plan til gjennomføring» i bybåndet, slik at mer bolig- og næringsutbygging skjer i transformasjonsområdene langs den viktigste kollektivtraseen på Nord-Jæren.
Oppdraget har en fastpris på 600 000 kr eks. moms.
Oppdraget reguleres av SSA-B enkel.
";"600000";"20";"2020";"22"
"2020-302799";"Konsulentbistand til arealbehovskartlegging";"Oslo kommune v/Eiendoms- og byfornyelsesetaten ";"Kunngjøring av konkurranse";"2020-05-18";"2020-06-15";"/Notice/Details/2020-302799";"73200000";"Kommunen har behov for følgende konsulentbistand i arbeidet med kommunal arealbehovskartlegging 2020.";NA;"20";"2020";"28"
"2020-352026";"Boligrådgivning i kommunene - Kartlegging, vurdering og anbefalinger";"Husbanken ";"Kunngjøring av konkurranse";"2020-05-15";"2020-06-04";"/Notice/Details/2020-352026";"73200000";"Målet med oppdraget er å vurdere boligrådgivning som virkemiddel og kunne gi kommunene gode råd om hvordan boligrådgivningen i kommunene bør organiseres, hva slags oppgaver den skal ha og hvilken kompetanse som kreves.";"560000";"20";"2020";"20"
"2020-328452";"Kunnskapsutvikling om innsats mot negativ sosial kontroll og tvangsekteskap";"Integrerings- og mangfoldsdirektoratet (IMDi) ";"Kunngjøring av konkurranse";"2020-05-15";"2020-06-16";"/Notice/Details/2020-328452";"73000000";"Hovedformålet med kunnskapsutviklingen om innsatsen mot negativ sosial kontroll og tvangsekteskap vil være å få økt kunnskap om metoder og resultater. IMDi skal bruke kunnskapen til å vurdere framtidig støtte og prioriteringer og dele gode metoder.
Oppdraget har to deloppdrag:
Deloppdrag 1: Følgeevaluering av mentorordningen.
Deloppdrag 2: Gjennomgang av frivillige organisasjoners prosjekter mot negativ sosial kontroll og tvangsekteskap.
";"2000000";"20";"2020";"32"
"2020-330572";"Konseptuelle tilnærminger for å styrke det globale vitenskaps- og kunnskapsgrunnlaget for å informere politikkutforming for å redusere marint søppel og mikroplast.";"Klima- og miljødepartementet ";"Kunngjøring av konkurranse";"2020-05-15";"2020-06-03";"/Notice/Details/2020-330572";"73000000";"Oppdragsgiver inviterer leverandører til å levere tilbud i denne anskaffelsen av en rapport om konseptuelle tilnærminger for å styrke kunnskapsgrunnlaget for politikkutforming for å redusere marin forsøpling og mikroplast.
Målet med denne rapporten er å utforske ulike konseptuelle tilnærminger til en global kunnskapsmekanisme. Rapporten bør vurdere ulike alternativer for mekanismer, og hvordan disse kan utformes for å svare ut behovet på globalt nivå, samtidig som det bygger på regionale mekanismer og behov. Se vedlagt bilag 1 til kontrakt for nærmere beskrivelse av oppdraget.
Rapporten skal leveres innen 15.desember 2020, og øvre honorarramme er NOK 375 000 ekskl. mva.
";"375000";"20";"2020";"19"
"2020-392519";"Juridisk utredning av sanksjonsbestemmelser i plan- og bygningsloven – oppfølging av Byggkvalitetutvalgets rapport";"Kommunal- og moderniseringsdepartementet ";"Kunngjøring av konkurranse";"2020-05-14";"2020-06-08";"/Notice/Details/2020-392519";"73200000";"Bakgrunnen for anskaffelsen er Byggkvalitetutvalgets rapport om virkemidlene i plan- og bygningsloven. Formålet med anskaffelsen er å få utarbeidet forslag til hjemler i plan- og bygningsloven som kan styrke kommunenes sanksjonsmuligheter. Departementet har behov for en juridisk utredning av hvordan lovhjemler for ansvarsgjennombrudd eller
gjennomskjæring, direkte gjennomføring og daglig leders ansvar kan utformes. Vi er også opptatt av de rettslige og praktiske konsekvensene av de foreslåtte hjemlene. Utredningen skal være til hjelp i departementets videre arbeid med oppfølgingen av utvalgets forslag. Utredningen skal leveres 15. oktober 2020.
Oppdraget har en øvre økonomisk ramme på inntil kr 600 000 NOK ekskl. mva.
";"600000";"20";"2020";"25"
"2020-398710";"Evaluering av system for Nye metoder i spesialisthelsetjenesten";"Helse- og omsorgsdepartementet ";"Kunngjøring av konkurranse";"2020-05-14";"2020-06-16";"/Notice/Details/2020-398710";"73200000";"Nye metoder er et system for innføring og utfasing av metoder i spesialisthelsetjenesten. ""Spesialisthelsetjenesten"" omfatter i denne sammenhengen alle offentlige eller offentlig finansierte sykehus- og sykehustjenester.
Evaluering av system for Nye metoder skal kartlegge om dagens organisering av og saksbehandlingsprosesser i systemet er hensiktsmessig utformet og egnet til å oppnå de satte formålene. Basert på kartleggingen og beskrivelsen, skal evalueringen identifisere barrierer og mulige endringer i organisering og saksbehandling, samt vurdere og foreslå tiltak for at systemet ev. bedre kan ivareta sine grunnleggende formål og behovet for åpenhet, tillit og legitimitet i helsetjenesten og befolkningen. I den grad det er mulig og relevant bør evalueringen gjøre sammenligninger med lignende systemer i andre land.
";"4000000";"20";"2020";"33"
"2020-397858";"Følgeevaluering av oppgaveoverføring til fylkene";"Riksantikvaren ";"Kunngjøring av konkurranse";"2020-05-14";"2020-06-15";"/Notice/Details/2020-397858";"73000000";"Det har blitt overført oppgaver fra Riksantikvaren til fylkene fra 1.1.2020. I forkant av dette er det gjennomført en nullpunktsmåling. Riksantikvaren ønsker å gjennomføre en følgeevaluering med utgangspunkt i denne.";"3000000";"20";"2020";"32"
"2020-368332";"Rammeavtale for undersøkelser om arbeidsforhold for migrantarbeidere";"Finansdepartementet ";"Kunngjøring av konkurranse";"2020-05-13";"2020-06-12";"/Notice/Details/2020-368332";"73200000";"Etikkrådet for Statens pensjonsfond utland skal inngå rammeavtale med en leverandør som kan gjennomføre undersøkelser ang. selskaper i fondets portefølje er involvert i praksis som kan utgjøre tvangsarbeid eller andre former for utnyttelse i arbeidslivet. Undersøkelsene bør ha spesielt fokus på situasjonen til migrantarbeidere. Undersøkelsene vil utgjøre grunnlag for avgjørelser om hvorvidt selskapenes oppførsel kan føre til observasjon eller utelukkelse etter menneskerettighetskriteriet i de etiske retningslinjene til Statens pensjonsfond utland.
Undersøkelsene kan bli gjennomført i ulike land, inkludert men ikke begrenset til land som mottar en stor andel migrantarbeidere, som Gulfstatene (inkl. Saudi-Arabia) og Malaysia, sammen med land som sender ut en stor andel migrantarbeidere, som Bangladesh, Nepal og Pakistan. Selskapene som skal undersøkes kan operere i enhver sektor, men det vil være et primært fokus på arbeidsintensive sektorer som service, produksjon og råvarer.
";"500000";"20";"2020";"30"
"2020-301924";"20/05813 OK og FM Gyrodactylus salaris i elver";"Veterinærinstituttet ";"Kunngjøring av konkurranse";"2020-05-12";"2020-05-26";"/Notice/Details/2020-301924";"73210000";"Tjenester i tilknytning til innsamling av fisk til:
-Overvåkningsprogrammet for Gyrodactylus salaris i elver
-Friskmeldingsprogrammet for Gyrodactylus salaris
";NA;"19";"2020";"14"
"2020-375221";"Lyssvekking i kystvannet - en litteraturstudie";"Miljødirektoratet ";"Kunngjøring av konkurranse";"2020-05-12";"2020-06-04";"/Notice/Details/2020-375221";"73112000";"Akkurat nå er det et stort fokus rettet mot potensialet i hav og kyst for å lagre CO2 og utrede hva som må til for å sikre robuste økosystemer som kan bestå under endrete betingelser på grunn av klimaendringene. En problemstilling som da det er kritisk å ha god innsikt i, er endringer av lysforholdene i kystvannet, fordi det både potensielt vil endre de marine økosystemene, og begrense mulighetene for å bevare naturlige lagre av CO2 hvis dette fører til at arealutbredelsen til marin vegetasjon reduseres.";"400000";"19";"2020";"23"
"2020-325971";"Bistand utredning responstjeneste Inn-Trøndelag";"Inderøy Kommune ";"Kunngjøring av konkurranse";"2020-05-12";"2020-05-26";"/Notice/Details/2020-325971";"73210000";"Innherred Innkjøp utfører på vegne av Inn-Trøndelagskommunene tilbudskonkurranse på bistand til utredning av responstjeneste. Oppdragsgiver er de samarbeidende kommunene i Inn-Trøndelagsregionen. 
Samarbeidet består i dag av kommunene Steinkjer, Inderøy og Snåsa kommune.
";"300000";"19";"2020";"14"
"2020-374541";"Evaluering av fagskolemeldingen";"Diku Direktoratet for internasjonalisering og kvalitetsutvikling i høyere utdanning ";"Kunngjøring av konkurranse";"2020-05-12";"2020-06-15";"/Notice/Details/2020-374541";"73000000";"Oppdraget går ut på å evaluere tiltakene som ble fremmet i Stortingsmeldingen Fagfolk for fremtiden (Meld.St. 9 – 2016-2017). Det er særlig viktig å få vurdert implementeringen og virkningen av tiltakene, deriblant omleggingen av finansieringssystemet. I tillegg vil det være viktig å identifisere eventuelle behov for endringer i tiltakene. Fullstendig beskrivelse av leveransen følger av bilag 1 til kontrakt.";"5000000";"19";"2020";"34"
"2020-381505";"Evaluering av tilskudd til aktivisering og arbeidstrening, og tilskudd til sosialt entreprenørskap";"Arbeids- og sosialdepartementet ";"Kunngjøring av konkurranse";"2020-05-11";"2020-06-09";"/Notice/Details/2020-381505";"73000000";"Over statsbudsjettets kapittel 621 post 70 bevilges det tilskudd til frivillig arbeid for sosialt og økonomisk vanskeligstilte. Anskaffelsen gjelder evaluering av to tilskuddsordninger på posten:
o Tilskudd til aktivisering og arbeidstrening i regi av frivillige organisasjoner.
o Tilskudd til sosialt entreprenørskap og sosiale entreprenører som retter sin virksomhet mot bekjempelse av fattigdom og sosial eksklusjon.
Hovedformålet er å få kunnskap om tilskuddene bidrar til nyskapende tiltak og løsninger i arbeidet med å gi alle muligheter til å komme i arbeid og å bedre levekårene for de vanskeligst stilte.
";"1290000";"19";"2020";"29"
"2020-321171";"Scenarier for fremtidens kultursektor";"Norsk Kulturråd ";"Kunngjøring av konkurranse";"2020-05-11";"2020-05-19";"/Notice/Details/2020-321171";"73200000";"Koronakrisen har skapt en uventet og dramatisk situasjon for kultursektoren. Vi har behov for å forstå hva «den nye normalen» vil kunne innebære for sektoren som helhet og for de forskjellige feltene som inngår i Kulturrådets portefølje (litteratur, musikk, visuell kunst, scenekunst, museum og kulturarv). Kulturrådet ønsker gjennom dette prosjektet å gi både egen virksomhet og sektoren en felles plattform for diskusjoner om fremtiden og om behovet for omstilling og nye grep. Vi ønsker derfor bistand til å gjennomføre en drivkraftsanalyse og utarbeide et sett med scenarier for fremtidens kultursektor. Prosessen skal kombinere en kreativ og analytisk tilnærming, og sikre bred involvering underveis i arbeidet.";"900000";"19";"2020";"8"
"2020-323720";"Kartlegging NORM industrier";"Norsk Helsenett SF ";"Kunngjøring av konkurranse";"2020-05-11";"2020-06-15";"/Notice/Details/2020-323720";"73200000";"Direktoratet for strålevern og atomsikkerhet (DSA) ønsker med dette prosjektet er å få kartlagt hvilke norske virksomheter som har potensiale for oppkonsentrering av NORM og på den måten danner radioaktivt avfall og/eller har utslipp av radioaktive stoffer.
Naturlig forekommende radioaktive stoffer (NORM - naturally occurring radioactive material).
Oppdraget er tredelt og består av en litteraturstudie del, en identifisering og kategoriserings del og en anbefalings del.
";"1000000";"19";"2020";"35"
"2020-390704";"Rådgivningstjenester - Eierstrategisk arbeid";"DRAMMEN KOMMUNE ";"Kunngjøring av konkurranse";"2020-05-11";"2020-06-12";"/Notice/Details/2020-390704";"72221000";"Drammen kommune er etablert som ny kommune fra 01.01.20 etter sammenslåing av Svelvik, Nedre Eiker og tidligere Drammen kommune. Drammen kommune har som mål å være en aktiv eier. Fra 01.01.20 har kommunen mange eierposisjoner - totalt om lag 35. Av disse er 20 aksjeselskap (AS), 7 interkommunale selskap (IKS), 3 KF (kommunale foretak).
Som ny kommune og ny eier har kommunen behov for å definere sine mål og strategier for hvert enkelt selskap kommunen har eierinteresser i. Drammen kommune ønsker å knytte til seg ekstern bistand til å gjennomføre eierstrategisk utredningsarbeid. Målet med bistanden er å få eksterne miljøer til å gjennomgå selskapenes virksomhet og kartlegge eiernes hensikter og målsettinger med sine eierskap.
Eierstrategisk arbeid vil skje løpende og strekke seg over flere år. Det er besluttet at det i første omgang skal gjennomføres eierstrategisk arbeid for:
Drammensregionens brannvesen IKS
Drammen Kommune Eiendomsutvikling AS
Vardar AS
Drammensbadet KF
Hermansenteret KF
";NA;"19";"2020";"32"
"2020-387052";"Regnskapsteknisk kompetanse for regnskap etter partiloven";"Kommunal- og moderniseringsdepartementet ";"Kunngjøring av konkurranse";"2020-05-07";"2020-06-03";"/Notice/Details/2020-387052";"73220000";"Formålet med anskaffelsen er å bistå Fylkesmennenes fellesadministrasjon (FMFA) med regnskaps- og bokføringsfaglig kompetanse og kvalitetssikre utviklingen av et digitalt regnskapssystem. Systemet skal utvikles etter partiloven og kunne benyttes av politiske partier.
Etter planen skal en referansegruppe bestående av utvalgte politiske partier og partiledd fra 1. januar 2021 ta i bruk en pilotversjon av systemet. En fullskalaversjon skal kunne tas i bruk av alle partier og partiledd fra 1. januar 2022.
Anskaffelsen vil ha en varighet på inntil tre kalenderår og en total kostnadsramme på opptil NOK 600 000. ekskl. mva.
For nærmere beskrivelse av leveransen, se bilag 1 til kontrakt (Kundens beskrivelse av oppdraget).
";"600000";"19";"2020";"27"
"2020-356685";"Evaluering og utredning av forsøksloven";"Kommunal- og moderniseringsdepartementet ";"Kunngjøring av konkurranse";"2020-05-07";"2020-05-28";"/Notice/Details/2020-356685";"73000000";"Lov om forsøk i offentlig forvaltning (forsøksloven) er en generell lov for gjennomføre forsøk i offentlig sektor. Loven er fra 1992, og det er behov for en utredning for å se nærmere på loven og praktiseringen av den. Det er også ønskelig med forslag til eventuelle endringer i forsøksloven og/eller andre forslag som kan bidra til å imøtekomme et økende antall ønsker om forsøk.
En utredning av forsøksloven bør ha en bred inngang, og utredningen bør se på alle sider av ordningen, inkludert blant annet forholdet mellom forsøksloven og forsøkshjemler i særlov og begrensingene i forsøksloven § 4. Utredningen bør også vurdere om dagens prosess for å godkjenne forsøk etter forsøksloven er den mest hensiktsmessige.
Utredningen skal leveres innen 30. november 2020.
Anslått verdi for kontrakten er fra kr 800 000 eks. mva. til kr 1 000 000 eks. mva. Estimatet er ikke bindende for oppdragsgiver.
";"1000000";"19";"2020";"21"
"2020-397094";"Anskaffing av LEAN-konsulenttenester";"Giske kommune  ";"Kunngjøring av konkurranse";"2020-05-07";"2020-06-11";"/Notice/Details/2020-397094";"79400000";"Avtalen skal dekke Oppdragsgjevar sitt behov for konsulentbistand knytt til arbeidet med å betre arbeidsprosessar. I tillegg skal konsulentbistanden bidra til å forenkle, effektivisere og redusere ressursbruk- og kostnader, utan å forverre den opplevde kvaliteten av arbeidet.";NA;"19";"2020";"35"
"2020-357305";"Teknisk analyse av prosumenters påvirkning på lavspent distribusjonsnett ved utrulling av solceller";"Norges vassdrags- og energidirektorat (NVE) ";"Kunngjøring av konkurranse";"2020-05-06";"2020-06-05";"/Notice/Details/2020-357305";"73200000";"se konkurransegrunnlag";NA;"19";"2020";"30"
"2020-301424";"Utfordringer i flerkommunale byområder";"Kommunal- og moderniseringsdepartementet ";"Kunngjøring av konkurranse";"2020-05-06";"2020-06-03";"/Notice/Details/2020-301424";"73000000";"Kommuneinndelingen skal, innenfor rammene av det nasjonale felleskapet, legge grunnlag for et funksjonsdyktig lokalt folkestyre og en effektiv lokalforvaltning. Kommunene skal være formålstjenelige enheter som kan gi innbyggerne og næringslivet gode og likeverdige tjenester og forvaltning med sikte på en bærekraftig utvikling.
Kommunal- og moderniseringsdepartementet ønsker kunnskap om utfordringer i flerkommunale byområder, dvs. funksjonelle regioner der bolig- og arbeidsmarkeder, eventuelt også der det sentrale tettstedet, er fordelt over flere kommuner.
";"700000";"19";"2020";"28"
"2020-364895";"Samfunnsøkonomisk analyse av eksamen og prøver i grunnskole og videregående opplæring del II";"Utdanningsdirektoratet ";"Kunngjøring av konkurranse";"2020-05-04";"2020-05-29";"/Notice/Details/2020-364895";"73200000";"Formålet for oppdraget er todelt: 1) en utredning avsamfunnsøkonomiske kostnader knyttet til prøver og dagenseksamensordning, og 2) en utredning av administrative og økonomiske virkninger avaktuelle endringer i eksamensordningen. ";NA;"18";"2020";"25"
"2020-353406";"Konsulenttjenester for utvikling og evaluering av Osloprøver i lesing";"Oslo kommune v/ Utdanningsetaten ";"Kunngjøring av konkurranse";"2020-05-01";"2020-06-02";"/Notice/Details/2020-353406";"73200000";"Osloskolen har en egen prøveplan hvor både statlige og kommunale
prøver inngår. Prøvene gir informasjon om elevenes grunnleggende ferdigheter og deres kompetanse.
I dag gjennomfører elever i Oslo kommunale prøver i matematikk/regning, lesing, naturfag og digitale ferdigheter. Prøvene i matematikk og digitale ferdigheter utvikles med bruk av interne ressurser. Områdene lesing og naturfag utvikles, analyseres og tilbakeføres ved hjelp av eksterne fagmiljøer.
Utdanningsetaten innehar ikke den kompetanse eller ressurser som kreves for å utvikle og følge opp prøvene i lesing og ønsker å samarbeide med et fagmiljø som kan dekke behovet.
Gjennom denne anskaffelsen ønsker Utdanningsetaten å inngå avtale med et fagmiljø for følgende prøver:
• Osloprøve i lesing 6. trinn
• Overgangsprøve i lesing 4. trinn
• Overgangsprøve i lesing 7. trinn
";"3000000";"18";"2020";"32"
