"doffin_referanse";"navn";"publisert_av";"kunngjoring_type";"kunngjoring_dato";"tilbudsfrist_dato";"lenke";"cpv";"estimert_totalverdi";"kunngjort_uke";"kunngjort_år";"fristlengde";"kunngjort_ukedag"
"2022-376682";"The role of the Informal Recycling Sector in marine litter prevention";"STIFTELSEN GRID-ARENDAL";"Kunngjøring av konkurranse";"2022-02-20";"2022-03-16";"/Notice/Details/2022-376682";"98300000";"9000000";"8";"2022";"24";"søn\."
"2022-302841";"Flytende meieriprodukter";"Fredrikstad kommune";"Kunngjøring av konkurranse";"2022-02-20";"2022-03-25";"/Notice/Details/2022-302841";"15500000";NA;"8";"2022";"33";"søn\."
"2022-371715";"Åpen anbudskonkurranse - Rammeavtale økonomi og regnskapstjenester";"Norges forskningsråd";"Kunngjøring av konkurranse";"2022-02-20";"2022-03-15";"/Notice/Details/2022-371715";"79211000";"80000000";"8";"2022";"23";"søn\."
"2022-389358";"Nettverkstjenester for SSB";"Statistisk Sentralbyrå";"Kunngjøring av konkurranse";"2022-02-20";"2022-05-06";"/Notice/Details/2022-389358";"64214400";"20000000";"8";"2022";"75";"søn\."
"2022-348728";"Rammeavtale for kjøp av miljøtekniske- og geofaglige rådgivningstjenester";"Direktoratet for mineralforvaltning med Bergmesteren for Svalbard";"Kunngjøring av konkurranse";"2022-02-20";"2022-03-28";"/Notice/Details/2022-348728";"71000000";"150000000";"8";"2022";"36";"søn\."
"2022-323439";"Rammeavtale frukt og grønt";"NRI Innkjøpssamarbeid";"Kunngjøring av konkurranse";"2022-02-20";"2022-03-25";"/Notice/Details/2022-323439";"03221200";NA;"8";"2022";"33";"søn\."
"2022-350536";"Kurs i brannvern og førstehjelp";"NTNU";"Kunngjøring av konkurranse";"2022-02-20";"2022-03-23";"/Notice/Details/2022-350536";"80500000";"70000000";"8";"2022";"31";"søn\."
"2022-360733";"Avinor AS - K-190026 - Framework agreement Self Service Bag Drop (SSBD) for airport terminal";"AVINOR AS";"Kunngjøring av konkurranse";"2022-02-20";"2022-03-23";"/Notice/Details/2022-360733";"34961100";NA;"8";"2022";"31";"søn\."
"2022-323796";"Interiørarkitekttjenester";"Universitetet i Agder";"Kunngjøring av konkurranse";"2022-02-20";"2022-03-28";"/Notice/Details/2022-323796";"79931000";NA;"8";"2022";"36";"søn\."
"2022-352378";"Kvalifiseringsfasen - Anskaffelse av klientutstyr som tjeneste";"ARBEIDS- OG VELFERDSETATEN";"Kunngjøring av konkurranse";"2022-02-19";"2022-03-24";"/Notice/Details/2022-352378";"72600000";NA;"8";"2022";"33";"lør\."
"2022-320279";"Artroskopi forbruksmateriell til helseforetakene tilknyttet Helse Nord";"SYKEHUSINNKJØP HF";"Kunngjøring av konkurranse";"2022-02-19";"2022-03-29";"/Notice/Details/2022-320279";"33141700";"160000000";"8";"2022";"38";"lør\."
"2022-344489";"Bofellesskap for personer med demens til Nannestad kommune";"Øvre Romerike Innkjøpssamarbeid";"Kunngjøring av konkurranse";"2022-02-19";"2022-03-25";"/Notice/Details/2022-344489";"45215210";NA;"8";"2022";"34";"lør\."
"2022-343649";"Anskaffelse - Supplerende grunnundersøkelser ved Kvasnes avløpsrenseanlegg. 2022";"Ålesund kommune";"Kunngjøring av konkurranse";"2022-02-19";"2022-03-22";"/Notice/Details/2022-343649";"71510000";NA;"8";"2022";"31";"lør\."
"2022-325540";"Tilrettelegging for aktiv jobbreise i Oslo kommune";"Oslo kommune v/ Klimaetaten";"Kunngjøring av konkurranse";"2022-02-19";"2022-03-31";"/Notice/Details/2022-325540";"79411100";"70000000";"8";"2022";"40";"lør\."
"2022-321273";"A150153_Krogstad Biogassanlegg_P3_Råtnetanker inkl. buffertank, avvanning og gassbehandling";"NEDRE ROMERIKE AVLØPSSELSKAP IKS";"Kunngjøring av konkurranse";"2022-02-19";"2022-03-23";"/Notice/Details/2022-321273";"45232422";NA;"8";"2022";"32";"lør\."
"2022-315744";"Renhold Bufetathus Tønsberg";"Barne-, ungdoms- og familiedirektoratet";"Kunngjøring av konkurranse";"2022-02-19";"2022-03-22";"/Notice/Details/2022-315744";"90911000";"16000000";"8";"2022";"31";"lør\."
"2022-357748";"Rammeavtale for kjøp av programvarelisenser. Avtalen omfatter volumlisensavtaler";"Midt-Telemark kommune";"Kunngjøring av konkurranse";"2022-02-19";"2022-03-18";"/Notice/Details/2022-357748";"72267100";"400000000";"8";"2022";"27";"lør\."
"2022-358092";"Anskaffelse av brukerundersøkelser";"Tolletaten";"Kunngjøring av konkurranse";"2022-02-19";"2022-03-22";"/Notice/Details/2022-358092";"79342310";"20000000";"8";"2022";"31";"lør\."
"2022-377566";"1000285/Ny vannforsyning Fornebu - Entreprise 2 - Sjøledning Sandvika‐ Fornebu";"Bærum kommune";"Kunngjøring av konkurranse";"2022-02-19";"2022-03-24";"/Notice/Details/2022-377566";"45000000";NA;"8";"2022";"33";"lør\."
"2022-397334";"Evaluering av ekstraordinært tilskudd til informasjonstiltak for innvandrerbefolkningen i regi av frivillige organisasjoner og kunnskapsinnhenting om sivilsamfunnets rolle under Covid-19";"Integrerings- og mangfoldsdirektoratet (IMDi)";"Kunngjøring av konkurranse";"2022-02-19";"2022-03-29";"/Notice/Details/2022-397334";"73000000";"30000000";"8";"2022";"38";"lør\."
"2022-301030";"TENSIO AS - STYRINGSSYSTEM FOR KVALITET, HMS OG INTERNKONTROLL - KVALIFISERING";"TENSIO AS";"Kunngjøring av konkurranse";"2022-02-19";"2022-03-21";"/Notice/Details/2022-301030";"72220000";"60000000";"8";"2022";"30";"lør\."
"2022-365543";"Leveranse av Shelter løsninger";"Norges vassdrags- og energidirektorat (NVE)";"Kunngjøring av konkurranse";"2022-02-19";"2022-03-24";"/Notice/Details/2022-365543";"44211100";"20000000";"8";"2022";"33";"lør\."
"2022-349335";"Tjenestekonsesjon - Brukerstyrt personlig assistanse (BPA)";"KRISTIANSAND KOMMUNE";"Kunngjøring av konkurranse";"2022-02-19";"2022-03-14";"/Notice/Details/2022-349335";"85311200";"1900000000";"8";"2022";"23";"lør\."
"2022-330728";"Rammeavtale - anskaffelsesfaglig bistand";"Patentstyret";"Kunngjøring av konkurranse";"2022-02-19";"2022-03-23";"/Notice/Details/2022-330728";"79418000";NA;"8";"2022";"32";"lør\."
"2022-397281";"76314 E2022 RH HLK Kardiologisk avd Angio 8";"Oslo Universitetssykehus HF (hovedenhet)";"Kunngjøring av konkurranse";"2022-02-19";"2022-04-20";"/Notice/Details/2022-397281";"33111720";NA;"8";"2022";"60";"lør\."
"2022-301185";"Inndamper";"Norges miljø- og biovitenskapelige universitet";"Kunngjøring av konkurranse";"2022-02-19";"2022-03-18";"/Notice/Details/2022-301185";"38000000";NA;"8";"2022";"27";"lør\."
"2022-381735";"Elvia AS - Invitasjon forespørsel Rammeavtale elektrisk kraft for levering i perioden 2023-2025";"Elvia AS";"Kunngjøring av konkurranse";"2022-02-19";"2022-04-01";"/Notice/Details/2022-381735";"71314000";"600000000";"8";"2022";"41";"lør\."
"2022-307093";"INR-apparater med forbruksmateriell til helseforetakene i Norge";"SYKEHUSINNKJØP HF";"Kunngjøring av konkurranse";"2022-02-19";"2022-03-15";"/Notice/Details/2022-307093";"38434500";"300000000";"8";"2022";"24";"lør\."
"2022-343338";"2021/4364 - Avtale om kjøp av virksomhetsarkitekturverktøy";"STATSBYGG";"Kunngjøring av konkurranse";"2022-02-19";"2022-04-01";"/Notice/Details/2022-343338";"48100000";NA;"8";"2022";"41";"lør\."
"2022-334689";"2022/600 Rammeavtale for levering, service og vedlikehold av utvendig solskjerming i Tromsø";"STATSBYGG";"Kunngjøring av konkurranse";"2022-02-18";"2022-03-25";"/Notice/Details/2022-334689";"50710000";"60000000";"7";"2022";"35";"fre\."
"2022-305730";"Nytt ventilasjonsaggregat, Lægreid skule";"Eidfjord kommune";"Kunngjøring av konkurranse";"2022-02-18";"2022-03-01";"/Notice/Details/2022-305730";"45331200";"9000000";"7";"2022";"11";"fre\."
"2022-314736";"7428 - Sunnan Renseanlegg E.2 Overbygg";"Steinkjer kommune";"Kunngjøring av konkurranse";"2022-02-18";"2022-03-18";"/Notice/Details/2022-314736";"45252000";NA;"7";"2022";"28";"fre\."
"2022-375893";"Tiltaksplan for Isesjø";"Sarpsborg kommune";"Kunngjøring av konkurranse";"2022-02-18";"2022-03-28";"/Notice/Details/2022-375893";"90733000";NA;"7";"2022";"38";"fre\."
"2022-324337";"RFI - Rammeavtale legemidler, apotekspesifikke varer og multidose";"Tromsø kommune";"Kunngjøring av konkurranse";"2022-02-18";"2022-02-25";"/Notice/Details/2022-324337";"33600000";NA;"7";"2022";"7";"fre\."
"2022-321140";"Grunnarbeider og fundamenter for CCS Prosjektet";"Fortum Oslo Varme AS";"Kunngjøring av konkurranse";"2022-02-18";"2022-03-21";"/Notice/Details/2022-321140";"45000000";"3000000000";"7";"2022";"31";"fre\."
"2022-344372";"Sykkylven bibliotek";"Nordplan AS";"Kunngjøring av konkurranse";"2022-02-18";"2022-03-18";"/Notice/Details/2022-344372";"45000000";NA;"7";"2022";"28";"fre\."
"2022-328445";"Overvåking av Kristiansandsfjorden - utlysning";"KRISTIANSAND KOMMUNE";"Kunngjøring av konkurranse";"2022-02-18";"2022-03-18";"/Notice/Details/2022-328445";"90733700";NA;"7";"2022";"28";"fre\."
"2022-328866";"AL-21-05 Ombygging Solsida Sykehjem";"Alvdal kommune";"Kunngjøring av konkurranse";"2022-02-18";"2022-03-25";"/Notice/Details/2022-328866";"45000000";"220000000";"7";"2022";"35";"fre\."
"2022-398383";"HVL Sogndal 1207401 Entreprise K201 Rehabilitering yttertak";"STATSBYGG";"Kunngjøring av konkurranse";"2022-02-18";"2022-03-21";"/Notice/Details/2022-398383";"45260000";NA;"7";"2022";"31";"fre\."
"2022-331763";"Konkurranse Prosjekt 100471 Helikopter havaritrener";"Forsvarsbygg";"Kunngjøring av konkurranse";"2022-02-18";"2022-03-18";"/Notice/Details/2022-331763";NA;NA;"7";"2022";"28";"fre\."
"2022-368783";"Åpen anbudskonkurranse for kjøp av totalentreprenør til Sophies Minde";"Oslo kommune v/ Oslobygg KF";"Kunngjøring av konkurranse";"2022-02-18";"2022-04-29";"/Notice/Details/2022-368783";"45000000";"5700000000";"7";"2022";"70";"fre\."
"2022-377748";"lillehammer helsehus-tilbygg";"Lillehammer Kommune";"Kunngjøring av konkurranse";"2022-02-18";"2022-04-01";"/Notice/Details/2022-377748";"45262800";"70000000";"7";"2022";"42";"fre\."
"2022-362570";"Defibrillatorer til Helse Førde HF";"SYKEHUSINNKJØP HF";"Kunngjøring av konkurranse";"2022-02-18";"2022-04-01";"/Notice/Details/2022-362570";"33100000";NA;"7";"2022";"42";"fre\."
"2022-399214";"Rammeavtale for asfaltarbeider 2022-2024";"KRISTIANSAND KOMMUNE";"Kunngjøring av konkurranse";"2022-02-18";"2022-03-30";"/Notice/Details/2022-399214";"45233222";"250000000";"7";"2022";"40";"fre\."
"2022-348536";"Anskaffelse av løst inventar til Kautokeino skole - Åpen anbudskonkurranse";"WSP NORGE AS (Oppdragsgiver)";"Kunngjøring av konkurranse";"2022-02-18";"2022-03-23";"/Notice/Details/2022-348536";"39160000";"30000000";"7";"2022";"33";"fre\."
"2022-385245";"Totalentreprise-Bekkjarvik avlastningsbolig og boliger for personer med nedsatt funksjonsevne";"OG Arkitekter as";"Kunngjøring av konkurranse";"2022-02-18";"2022-04-04";"/Notice/Details/2022-385245";"45215214";"210000000";"7";"2022";"45";"fre\."
"2022-393932";"Due diligence – Institutt for energiteknikks Nukleære sektor";"Nærings- og fiskeridepartementet";"Kunngjøring av konkurranse";"2022-02-18";"2022-03-11";"/Notice/Details/2022-393932";"72221000";"10000000";"7";"2022";"21";"fre\."
"2022-346570";"Rammeavtale for kjøp av diesel frå pumpe og bulk - Volda og Ørsta Reinhaldsverk IKS";"Volda og Ørsta Reinhaldsverk IKS";"Kunngjøring av konkurranse";"2022-02-18";"2022-03-22";"/Notice/Details/2022-346570";"09134200";NA;"7";"2022";"32";"fre\."
"2022-302717";"Rammeavtale formerking og tunnelreflektorer i Rogaland 2022-2026";"Rogaland Fylkeskommune";"Kunngjøring av konkurranse";"2022-02-18";"2022-03-23";"/Notice/Details/2022-302717";"45233221";NA;"7";"2022";"33";"fre\."
"2022-330332";"(2021-10140) Næringsmidler; fersk frukt og grønt, rammeavtale";"Viken Vest Innkjøpssamarbeid (VVI)";"Kunngjøring av konkurranse";"2022-02-18";"2022-03-23";"/Notice/Details/2022-330332";"03220000";NA;"7";"2022";"33";"fre\."
"2022-348717";"2022/4952 Rammeavtale Rådgivertjenester";"Sandefjord Kommune";"Kunngjøring av konkurranse";"2022-02-18";"2022-03-15";"/Notice/Details/2022-348717";"71315000";"200000000";"7";"2022";"25";"fre\."
"2022-358605";"Rammeavtale for kjøp av utstyr til venøs blodprøvetaking for levering til helseforetakene i Helse Vest RHF";"SYKEHUSINNKJØP HF";"Kunngjøring av konkurranse";"2022-02-18";"2022-03-25";"/Notice/Details/2022-358605";"38000000";NA;"7";"2022";"35";"fre\."
"2022-395008";"Elektrikertjenester, sterk- og svakstrøm med materiell Målselv kommune";"Finnut Consult AS";"Kunngjøring av konkurranse";"2022-02-18";"2022-03-18";"/Notice/Details/2022-395008";"45310000";NA;"7";"2022";"28";"fre\."
"2022-396640";"NiN-kartlegging 2022 - Stavanger kommune";"Stavanger kommune";"Kunngjøring av konkurranse";"2022-02-18";"2022-03-25";"/Notice/Details/2022-396640";"71222200";"8000000";"7";"2022";"35";"fre\."
"2022-377642";"Anskaffelse av vikarer - Helsepersonell";"Sandnes kommune";"Kunngjøring av konkurranse";"2022-02-18";"2022-03-03";"/Notice/Details/2022-377642";"79624000";"50000000";"7";"2022";"13";"fre\."
"2022-360613";"Forbruksmateriell (el-materiell) - Nordkyn Kraftlag SA og Varanger Kraft AS";"Finnut Consult AS";"Kunngjøring av konkurranse";"2022-02-18";"2022-03-23";"/Notice/Details/2022-360613";"31710000";"280000000";"7";"2022";"33";"fre\."
"2022-306362";"AN7286 Rehab Molvigkaia - Detaljprosjektering";"Fredrikstad kommune";"Kunngjøring av konkurranse";"2022-02-18";"2022-03-18";"/Notice/Details/2022-306362";"71240000";NA;"7";"2022";"28";"fre\."
"2022-362317";"Kjøp av konsulenttjenester til arbeid med fremtidsbilder/-scenarioer i KVU Nord-Norge";"Statens vegvesen";"Kunngjøring av konkurranse";"2022-02-18";"2022-03-10";"/Notice/Details/2022-362317";"73000000";"5000000";"7";"2022";"20";"fre\."
"2022-383263";"Prekvalifisering - Stafettlogg etter BTI-modellen og Individuell plan (IP) til Bærum kommune";"Bærum kommune";"Kunngjøring av konkurranse";"2022-02-18";"2022-03-18";"/Notice/Details/2022-383263";"72000000";NA;"7";"2022";"28";"fre\."
"2022-362588";"Rammeavtale for rådgivende ingeniør VA";"OFA - Konkurranseportal";"Kunngjøring av konkurranse";"2022-02-18";"2022-03-22";"/Notice/Details/2022-362588";"71311000";"120000000";"7";"2022";"32";"fre\."
"2022-355826";"Rammeavtale for kjøp av entreprenørtjenester";"Time Kommune";"Kunngjøring av konkurranse";"2022-02-18";"2022-03-11";"/Notice/Details/2022-355826";"60182000";"200000000";"7";"2022";"21";"fre\."
"2022-343838";"Rammeavtale - Gartnerarbeid, Frøya kommune";"Frøya Kommune";"Kunngjøring av konkurranse";"2022-02-18";"2022-03-14";"/Notice/Details/2022-343838";"45112700";"30000000";"7";"2022";"24";"fre\."
"2022-385752";"Konkurranse vedrørende driver av tjenestetilbud i form av drift av egen food-truck / salgsvogn på Viken kollektivterminaler FKF utvalgte bussterminal område(r)";"Viken fylkeskommune";"Kunngjøring av konkurranse";"2022-02-18";"2022-03-25";"/Notice/Details/2022-385752";"55300000";NA;"7";"2022";"35";"fre\."
"2022-339315";"Avinor AS - K-190412 - Rammeavtale på lastebiler og krokpåbygg";"AVINOR AS";"Kunngjøring av konkurranse";"2022-02-18";"2022-03-22";"/Notice/Details/2022-339315";"34140000";NA;"7";"2022";"32";"fre\."
"2022-375667";"E11: Kvalifikasjonsfasen E11 Forbehandling for nytt Avløpsrenseanlegg FREVAR KF";"PPM Prosjekt";"Kunngjøring av konkurranse";"2022-02-18";"2022-03-25";"/Notice/Details/2022-375667";"45252100";"301600000";"7";"2022";"35";"fre\."
"2022-320694";"2022/580 - Prosjekt 1148703 - NTNU Campussamling - Konsulentbistand innen gjennomføring og usikkerhet";"STATSBYGG";"Kunngjøring av konkurranse";"2022-02-18";"2022-03-21";"/Notice/Details/2022-320694";"72224000";NA;"7";"2022";"31";"fre\."
"2022-327979";"Prosjekt 1105901 Gamlehaugen - Restaurering av vinduer og fasader - Totalentreprise K 202 - Stillas for takarbeider";"STATSBYGG";"Kunngjøring av konkurranse";"2022-02-18";"2022-03-24";"/Notice/Details/2022-327979";"45262100";NA;"7";"2022";"34";"fre\."
"2022-322656";"Renholdstjenester til Sogn og Fjordane tingrett i Førde";"Domstoladministrasjonen";"Kunngjøring av konkurranse";"2022-02-18";"2022-03-21";"/Notice/Details/2022-322656";"90911000";"40000000";"7";"2022";"31";"fre\."
"2022-382416";"Varelagerautomater og vertikale lagerheiser for sykehusapotekforetakene i Norge";"SYKEHUSINNKJØP HF";"Kunngjøring av konkurranse";"2022-02-18";"2022-03-22";"/Notice/Details/2022-382416";"42965100";"1670000000";"7";"2022";"32";"fre\."
"2022-348775";"Rammeavtale på revisjonstjenester";"Rana Kommune";"Kunngjøring av konkurranse";"2022-02-17";"2022-03-21";"/Notice/Details/2022-348775";"79212000";"56000000";"7";"2022";"32";"tor\."
"2022-387967";"Rammeavtale for lagring knyttet til backup og arkivering";"Statens vegvesen";"Kunngjøring av konkurranse";"2022-02-17";"2022-03-21";"/Notice/Details/2022-387967";"72317000";"600000000";"7";"2022";"32";"tor\."
"2022-332528";"Batnfjord skole og Hjorten - dør, 2021";"Gjemnes kommune";"Kunngjøring av konkurranse";"2022-02-17";"2022-03-31";"/Notice/Details/2022-332528";"45420000";NA;"7";"2022";"42";"tor\."
"2022-349628";"Byggefelt Berget inkludert bru over Maråkelva";"Stranda kommune";"Kunngjøring av konkurranse";"2022-02-17";"2022-03-23";"/Notice/Details/2022-349628";"45000000";NA;"7";"2022";"34";"tor\."
"2022-380145";"Utstyr og tjenester til skadedyrkontroll ved Oslo universitetssykehus HF";"SYKEHUSINNKJØP HF";"Kunngjøring av konkurranse";"2022-02-17";"2022-03-21";"/Notice/Details/2022-380145";"24451000";"50000000";"7";"2022";"32";"tor\."
"2022-355246";"(2022-101) Forsikringsmegler, rammeavtale";"Øvre Romerike Innkjøpssamarbeid";"Kunngjøring av konkurranse";"2022-02-17";"2022-03-14";"/Notice/Details/2022-355246";"66510000";NA;"7";"2022";"25";"tor\."
"2022-336105";"Utstyrsanskaffelse 9320 Varmeskap og inkubatorer - Nytt klinikk- og protonbygg Radiumhospitalet";"Helse Sør-Øst RHF";"Kunngjøring av konkurranse";"2022-02-17";"2022-03-21";"/Notice/Details/2022-336105";"39180000";NA;"7";"2022";"32";"tor\."
"2022-364468";"2022 - Flomberegning og revurdering av dam Konovatnet";"Overhalla Kommune";"Kunngjøring av konkurranse";"2022-02-17";"2022-03-16";"/Notice/Details/2022-364468";"71000000";NA;"7";"2022";"27";"tor\."
"2022-309770";"HMS system kommunale barnehager";"Bodø Kommune";"Kunngjøring av konkurranse";"2022-02-17";"2022-03-03";"/Notice/Details/2022-309770";"72220000";"6000000";"7";"2022";"14";"tor\."
"2022-372439";"Førstehjelpskurs";"UiT Norges arktiske universitet";"Kunngjøring av konkurranse";"2022-02-17";"2022-03-14";"/Notice/Details/2022-372439";"80560000";"12000000";"7";"2022";"25";"tor\."
"2022-333765";"22-013 Produktomtaler bak betalingsmur - Media";"AS Vinmonopolet";"Kunngjøring av konkurranse";"2022-02-17";"2022-03-11";"/Notice/Details/2022-333765";"92400000";NA;"7";"2022";"22";"tor\."
"2022-320955";"Rehabilitering vannledning Tronsholen - Tjensvoll, delstrekk 2";"IVAR IKS";"Kunngjøring av konkurranse";"2022-02-17";"2022-03-18";"/Notice/Details/2022-320955";"45231300";"280000000";"7";"2022";"29";"tor\."
"2022-389253";"Grunnundersøkelser og geotekniske vurderinger - Smørstadbrinken";"Norges vassdrags- og energidirektorat (NVE)";"Kunngjøring av konkurranse";"2022-02-17";"2022-03-14";"/Notice/Details/2022-389253";"45111250";"5000000";"7";"2022";"25";"tor\."
"2022-363454";"KK - Entreprise - 64715 Småhus Pilotveien 2";"Kristiansund kommune";"Kunngjøring av konkurranse";"2022-02-17";"2022-03-11";"/Notice/Details/2022-363454";"45215200";"70000000";"7";"2022";"22";"tor\."
"2022-355373";"Simuleringsdukker for opplæringsformål";"INNLANDET FYLKESKOMMUNE";"Kunngjøring av konkurranse";"2022-02-17";"2022-03-29";"/Notice/Details/2022-355373";"35112100";"32000000";"7";"2022";"40";"tor\."
"2022-334132";"Digitale skjema";"IKT Nordhordland kommunalt oppgåvefellesskap";"Kunngjøring av konkurranse";"2022-02-17";"2022-03-07";"/Notice/Details/2022-334132";"48000000";"17000000";"7";"2022";"18";"tor\."
"2022-385914";"Grønnegata 103 - Sprinkleranlegg - Tiltak for å øke hele bygget til Risikoklasse 6";"Stiftelsen Kommunale Boliger";"Kunngjøring av konkurranse";"2022-02-17";"2022-03-04";"/Notice/Details/2022-385914";"45343230";NA;"7";"2022";"15";"tor\."
"2022-341778";"00654 USN Campus Notodden Utskiftning av 2 stk heiser";"STATSBYGG";"Kunngjøring av konkurranse";"2022-02-17";"2022-04-01";"/Notice/Details/2022-341778";"45000000";NA;"7";"2022";"43";"tor\."
"2022-302666";"Rammeavtale for grønn skjøtsel ved Statsbygg sine eiendommer i Tromsø";"STATSBYGG";"Kunngjøring av konkurranse";"2022-02-17";"2022-03-21";"/Notice/Details/2022-302666";"77300000";NA;"7";"2022";"32";"tor\."
"2022-366155";"21/03508 Pipetteringsrobot til FHI";"Norsk Helsenett SF";"Kunngjøring av konkurranse";"2022-02-17";"2022-03-21";"/Notice/Details/2022-366155";"38437000";"30000000";"7";"2022";"32";"tor\."
"2022-382766";"Fresing for vegoppmerking DoV midt 2022 - 2023";"Statens vegvesen";"Kunngjøring av konkurranse";"2022-02-17";"2022-03-17";"/Notice/Details/2022-382766";"45000000";NA;"7";"2022";"28";"tor\."
"2022-328812";"Geovekstinnkjøp: Lærdal 2022 - LACHVL23";"STATENS KARTVERK";"Kunngjøring av konkurranse";"2022-02-17";"2022-03-15";"/Notice/Details/2022-328812";"71354200";NA;"7";"2022";"26";"tor\."
"2022-303650";"Ytre Namdal Vekst - Ombygging vaskeriet - Utførelsesentrepriser";"Arcon Prosjekt as";"Kunngjøring av konkurranse";"2022-02-17";"2022-03-15";"/Notice/Details/2022-303650";"45262700";NA;"7";"2022";"26";"tor\."
"2022-354179";"Renhold, renovasjon og skjøtsel av badeplasser i utmark";"DRAMMEN KOMMUNE";"Kunngjøring av konkurranse";"2022-02-17";"2022-03-09";"/Notice/Details/2022-354179";"90000000";"13000000";"7";"2022";"20";"tor\."
"2022-371079";"Vaskeritjenester Flatt tøy og pasient tøy";"Enebakk Kommune";"Kunngjøring av konkurranse";"2022-02-17";"2022-03-18";"/Notice/Details/2022-371079";"98310000";"59000000";"7";"2022";"29";"tor\."
"2022-388265";"Traktor";"Nittedal Kommune";"Kunngjøring av konkurranse";"2022-02-17";"2022-03-11";"/Notice/Details/2022-388265";"16700000";NA;"7";"2022";"22";"tor\."
"2022-351047";"Skibru Finntøppvegen";"Øystre Slidre kommune";"Kunngjøring av konkurranse";"2022-02-17";"2022-03-16";"/Notice/Details/2022-351047";"45000000";NA;"7";"2022";"27";"tor\."
"2022-357991";"Anskaffelse - Rammeavtaler skinne- og påleggssveis";"Spordrift AS";"Kunngjøring av konkurranse";"2022-02-17";"2022-03-18";"/Notice/Details/2022-357991";"50225000";NA;"7";"2022";"29";"tor\."
"2022-367264";"Sporvekseltiltak Rørosbanen 2022 og 2023";"Bane NOR SF";"Kunngjøring av konkurranse";"2022-02-17";"2022-03-18";"/Notice/Details/2022-367264";"45234121";NA;"7";"2022";"29";"tor\."
"2022-309457";"Instrument for automatisert resistensbestemmelse og identifikasjon av bakterier til Helse Førde HF";"SYKEHUSINNKJØP HF";"Kunngjøring av konkurranse";"2022-02-17";"2022-03-16";"/Notice/Details/2022-309457";"38000000";NA;"7";"2022";"27";"tor\."
"2022-321876";"Rammeavfale for kjøp av avfallsposer";"ØFAS HUSHOLDNING AS";"Kunngjøring av konkurranse";"2022-02-17";"2022-03-16";"/Notice/Details/2022-321876";"19640000";"50000000";"7";"2022";"27";"tor\."
"2022-322618";"Ny teleskoptribune til storsalen i Lofoten kulturhus";"Vågan Kommune";"Kunngjøring av konkurranse";"2022-02-17";"2022-04-05";"/Notice/Details/2022-322618";"39113000";"40000000";"7";"2022";"47";"tor\."
"2022-350939";"Hjullaster 2022";"Helgeland Avfallsforedling IKS";"Kunngjøring av konkurranse";"2022-02-17";"2022-03-18";"/Notice/Details/2022-350939";"34144710";"30000000";"7";"2022";"29";"tor\."
"2022-301217";"Kjøp av lovpålagt finansiell revisjon";"BIR AS";"Kunngjøring av konkurranse";"2022-02-17";"2022-03-18";"/Notice/Details/2022-301217";"79212100";"45000000";"7";"2022";"29";"tor\."
"2022-381273";"Rammeavtale beredskap vann og avløp";"Rælingen kommune";"Kunngjøring av konkurranse";"2022-02-17";"2022-03-18";"/Notice/Details/2022-381273";"71800000";NA;"7";"2022";"29";"tor\."
"2022-342121";"TILLATELSESORDNING FOR SMÅ ELEKTRISKE KJØRETØY PÅ OFFENTLIG GRUNN I TRONDHEIM";"Trondheim kommune";"Kunngjøring av konkurranse";"2022-02-16";"2022-03-07";"/Notice/Details/2022-342121";"60000000";"490000000";"7";"2022";"19";"ons\."
"2022-389870";"Rammeavtale arbeidsplass";"Ruter As";"Kunngjøring av konkurranse";"2022-02-16";"2022-03-15";"/Notice/Details/2022-389870";"72222300";"2000000000";"7";"2022";"27";"ons\."
"2022-343627";"STA-21-01 Utbygging av mobildekning i Stange kommune";"Stange kommune";"Kunngjøring av konkurranse";"2022-02-16";"2022-04-08";"/Notice/Details/2022-343627";"45232340";NA;"7";"2022";"51";"ons\."
"2022-304177";"Rammeavtale taxi og persontransporttjenester - fornyet kunngjøring";"Moss kommune";"Kunngjøring av konkurranse";"2022-02-16";"2022-03-18";"/Notice/Details/2022-304177";"60000000";NA;"7";"2022";"30";"ons\."
"2022-322530";"2022-14 CNC skjæremaskin til Hustadvika vgs";"Møre og Romsdal Fylkeskommune";"Kunngjøring av konkurranse";"2022-02-16";"2022-03-07";"/Notice/Details/2022-322530";"42620000";"8500000";"7";"2022";"19";"ons\."
"2022-332916";"Skrautvål kyrkjegard";"Nord-Aurdal kommune";"Kunngjøring av konkurranse";"2022-02-16";"2022-03-15";"/Notice/Details/2022-332916";"45236300";"30000000";"7";"2022";"27";"ons\."
"2022-378457";"Prosjektleder til konseptvalgutredning for mulig lokalisering av Helsehus og legevakt til Drammen helsepark";"DRAMMEN KOMMUNE";"Kunngjøring av konkurranse";"2022-02-16";"2022-03-02";"/Notice/Details/2022-378457";"71541000";NA;"7";"2022";"14";"ons\."
"2022-306699";"Samlekontrakt bruvedlikehold riksveg 2022-2024 - Vestland";"Statens vegvesen";"Kunngjøring av konkurranse";"2022-02-16";"2022-04-01";"/Notice/Details/2022-306699";"45221119";NA;"7";"2022";"44";"ons\."
"2022-354834";"2021/4123 - Parallelle rammeavtaler om rør- og sanitærinstallasjonsarbeider for eiendommer i Kristiansand og omegn";"STATSBYGG";"Kunngjøring av konkurranse";"2022-02-16";"2022-03-10";"/Notice/Details/2022-354834";"45231113";NA;"7";"2022";"22";"ons\."
